Reactant_ID,SMILES,Monomer_ID,PubChem_CID,PubChem_SID,IC50,pIC50,class
50607724,OC(=O)c1cccc(n1)C(O)=O,26116,10367,56464553,41600,4.381,inactive
495609,COc1ccc(Cn2nnnc2-c2c(Br)cccc2S(N)(=O)=O)cc1,262090,118256805,376223927,57.6,7.24,active
495612,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(=O)NC2CCOC2)c1-c1nn[nH]n1,262092,118266163,376223929,1907,5.72,inactive
495615,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(O)C(F)(F)F)c1-c1nn[nH]n1,262152,118266209,376223980,39.9,7.399,active
495618,CC(N1CCOCC1)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262153,118266204,376223981,196,6.708,intermediate
495621,Cc1nc2ccccc2n1Cc1ccc(cc1)B1OC(C)(C)C(C)(C)O1,262154,123949802,376223982,56.5,7.248,active
495624,CC(C)(C)OC(=O)NCc1ccc(cn1)B1OC(C)(C)C(C)(C)O1,262155,101043307,376223983,42.3,7.374,active
495627,CC(C)(C)OC(=O)NCCc1ccc(cn1)B1OC(C)(C)C(C)(C)O1,262156,123299559,376223984,486,6.313,intermediate
495630,COc1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262157,118266216,376223985,79.8,7.098,active
495633,CCN(CC)C(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262158,118266211,376223986,277,6.558,intermediate
495636,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(=O)N2CCOCC2)c1-c1nn[nH]n1,262159,118266207,376223987,986,6.006,intermediate
495639,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(=O)NC2CC2)c1-c1nn[nH]n1,262160,118266208,376223988,466,6.332,intermediate
495642,NS(=O)(=O)c1cccc(-c2ccc(cc2)N2CCOCC2)c1-c1nn[nH]n1,262161,118266212,376223989,95.7,7.019,active
495645,CNC(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262162,118266217,376223990,226,6.646,intermediate
495648,NS(=O)(=O)c1cccc(-c2ccccc2)c1-c1nn[nH]n1,262164,118257022,376223992,108,6.967,intermediate
495651,NC(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262165,118266213,376223993,62.3,7.206,active
495654,CS(=O)(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262167,118266214,376223995,67.1,7.173,active
495657,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(=O)NCCO)c1-c1nn[nH]n1,262168,118266219,376223996,209,6.68,intermediate
495660,NS(=O)(=O)c1cccc(-c2ccc(cc2)N2CCCCC2)c1-c1nn[nH]n1,262169,118266215,376223997,326,6.487,intermediate
495663,NS(=O)(=O)c1cccc(-c2cccnc2)c1-c1nn[nH]n1,262170,118266627,376223998,269,6.57,intermediate
495666,NS(=O)(=O)c1cccc(-c2cccs2)c1-c1nn[nH]n1,262171,118266629,376223999,362,6.441,intermediate
495669,NS(=O)(=O)c1cccc(-c2cnc(s2)C2(O)CCC2)c1-c1nn[nH]n1,262172,118266625,376224000,564,6.249,intermediate
495672,NS(=O)(=O)c1cccc(-c2ccc(nc2)C2(OCCO2)C(F)(F)F)c1-c1nn[nH]n1,262173,118266628,376224001,26.7,7.573,active
495675,C[C@H]1NC(=O)O[C@H]1c1ccc(cc1)-c1cccc(c1-c1nnn[nH]1)S(N)(=O)=O,262174,118266626,376224002,9.76,8.011,potent
495678,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(O)C(F)F)c1-c1nnn[nH]1,262175,118266630,376224003,124,6.907,intermediate
495681,NS(=O)(=O)c1cccc(-c2ccc(cc2)C2(CCOCC2)C#N)c1-c1nnn[nH]1,262176,118266631,376224004,45.5,7.342,active
495684,NS(=O)(=O)c1cccc(-c2ccc(CO)cc2)c1-c1nnn[nH]1,262177,118265878,376224005,58.4,7.234,active
495687,NS(=O)(=O)c1cccc(-c2ccc(cc2)C2CCNC2=O)c1-c1nnn[nH]1,262178,118265877,376224006,77.1,7.113,active
495690,COC(=O)N1CCC(CC1)c1ccc(cc1)-c1cccc(c1-c1nnn[nH]1)S(N)(=O)=O,262179,118265879,376224007,26.7,7.573,active
495693,C[C@@H]1NC(=O)O[C@H]1c1ccc(cc1)-c1cccc(c1-c1nnn[nH]1)S(N)(=O)=O,262180,118265880,376224008,52.8,7.277,active
495696,CN(C)CCCOc1ccc(cn1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262181,118265876,376224009,875,6.058,intermediate
495699,NS(=O)(=O)c1cccc(-c2ccc(cc2)C2CCNCC2)c1-c1nn[nH]n1,262182,118256901,376224010,18.8,7.726,active
495702,COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2c(Br)ccc(-c3ccc(cc3)C3CN(C3)C(=O)OC(C)(C)C)c2-c2nnn(Cc3ccc(OC)cc3)n2)cc1,262183,118257245,376224011,77.8,7.109,active
495705,CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CI)CC1,262184,22106762,376224012,832,6.08,intermediate
495708,Cc1csc(n1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262185,118266319,376224013,1438,5.842,inactive
495711,NS(=O)(=O)c1cccc(-c2nccs2)c1-c1nn[nH]n1,262186,118266321,376224014,1011,5.995,inactive
495714,NS(=O)(=O)c1cccc(-c2cccc(F)n2)c1-c1nn[nH]n1,262187,134823483,376224015,219,6.66,intermediate
495717,COc1cccc(n1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262188,134823484,376224016,206,6.686,intermediate
495720,Cn1ccnc1-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262189,118266320,376224017,5537,5.257,inactive
495723,NS(=O)(=O)c1cccc(-c2ncccn2)c1-c1nn[nH]n1,262190,134823485,376224018,8139,5.089,inactive
495726,COc1cncc(n1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262191,134823486,376224019,560,6.252,intermediate
495729,NS(=O)(=O)c1cccc(-c2ccco2)c1-c1nn[nH]n1,262192,118266325,376224020,1151,5.939,inactive
495732,NS(=O)(=O)c1cccc(-c2cncnc2)c1-c1nn[nH]n1,262193,134823487,376224021,9964,5.002,inactive
495735,Cn1cncc1-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262194,118266442,376224022,2462,5.609,inactive
495738,NS(=O)(=O)c1cccc(-c2cncs2)c1-c1nn[nH]n1,262195,118266444,376224023,294,6.532,intermediate
495741,NS(=O)(=O)c1cccc(-c2cscn2)c1-c1nn[nH]n1,262196,118266433,376224024,496,6.305,intermediate
495744,NS(=O)(=O)c1cccc(-c2ccnc(F)c2)c1-c1nn[nH]n1,262197,134823488,376224025,99.1,7.004,active
495747,NS(=O)(=O)c1cccc(-c2ccnnc2)c1-c1nn[nH]n1,262198,134823489,376224026,5359,5.271,inactive
495750,NS(=O)(=O)c1cccc(-c2ccc(F)nc2)c1-c1nn[nH]n1,262199,134823490,376224027,182,6.74,intermediate
495753,Cn1nccc1-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262200,118266436,376224028,61.7,7.21,active
495756,NS(=O)(=O)c1cccc(-c2ccc(cc2)-c2ccn[nH]2)c1-c1nn[nH]n1,262201,134823491,376224029,89.1,7.05,active
495759,COC1CCN(CC1)C(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262202,134823492,376224030,4193,5.377,inactive
495762,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(=O)N2CCC(O)CC2)c1-c1nn[nH]n1,262203,134823493,376224031,96.6,7.015,active
495765,NS(=O)(=O)c1cccc(-c2ccc3CNC(=O)c3c2)c1-c1nn[nH]n1,262204,134823494,376224032,37,7.432,active
495768,CS(=O)(=O)CCn1cc(cn1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,262205,118266165,376224033,937,6.028,intermediate
495771,CN(c1ncc(cn1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O)S(C)(=O)=O,262206,134823495,376224034,144,6.842,intermediate
