BindingDB_ID,SMILES,IC50,pIC50,class
495609,COc1ccc(Cn2nnnc2-c2c(Br)cccc2S(N)(=O)=O)cc1,57.6,7.24,active
495612,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(=O)NC2CCOC2)c1-c1nn[nH]n1,1907,5.72,inactive
495615,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(O)C(F)(F)F)c1-c1nn[nH]n1,39.9,7.399,active
495618,CC(N1CCOCC1)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,196,6.708,intermediate
495621,Cc1nc2ccccc2n1Cc1ccc(cc1)B1OC(C)(C)C(C)(C)O1,56.5,7.248,active
495624,CC(C)(C)OC(=O)NCc1ccc(cn1)B1OC(C)(C)C(C)(C)O1,42.3,7.374,active
495627,CC(C)(C)OC(=O)NCCc1ccc(cn1)B1OC(C)(C)C(C)(C)O1,486,6.313,intermediate
495630,COc1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,79.8,7.098,active
495633,CCN(CC)C(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,277,6.558,intermediate
495636,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(=O)N2CCOCC2)c1-c1nn[nH]n1,986,6.006,intermediate
495639,NS(=O)(=O)c1cccc(-c2ccc(cc2)C(=O)NC2CC2)c1-c1nn[nH]n1,466,6.332,intermediate
495642,NS(=O)(=O)c1cccc(-c2ccc(cc2)N2CCOCC2)c1-c1nn[nH]n1,95.7,7.019,active
495645,CNC(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,226,6.646,intermediate
495648,NS(=O)(=O)c1cccc(-c2ccccc2)c1-c1nn[nH]n1,108,6.967,intermediate
495651,NC(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,62.3,7.206,active
495654,CS(=O)(=O)c1ccc(cc1)-c1cccc(c1-c1nn[nH]n1)S(N)(=O)=O,67.1,7.173,active
